[1] A = 1^0 | A=1 | Arithmetic operation
[2] A = 5^5 | A=3125 | Arithmetic operation
[3] A = -1^2 | A=-1 | Arithmetic operation
[4] A = (-1)^2 | A=1 | Arithmetic operation
[5] A = -2^3^2 | A=-512 | Arithmetic operation
[6] A = (-2)^3^2 | A=-512 | Arithmetic operation
[7] A = 3 | A=3 | Assignment
[8] A = -A^A | A=-27 | Arithmetic operation
[9] A = -2^2 | A=-4 | Arithmetic operation
[10] A = 2 | A=2 | Assignment
[11] B = 3 | A=2, B=3 | Assignment
[12] C = A + B * 2 | A=2, B=3, C=8 | Arithmetic operation
[13] D = (A + B) * (C - 1) | A=2, B=3, C=8, D=35 | Arithmetic operation
[14] E = D ^ 2 | A=2, B=3, C=8, D=35, E=1225 | Arithmetic operation
[15] F = -A + B * (C - 4) | A=2, B=3, C=8, D=35, E=1225, F=10 | Arithmetic operation
[16] G = E / (B + A) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245 | Arithmetic operation
[17] H = G ^ (A - 1) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Arithmetic operation
[18] print(A) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print A
[19] print(B) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print B
[20] print(C) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print C
[21] print(D) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print D
[22] print(E) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print E
[23] print(F) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print F
[24] print(G) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print G
[25] print(H) | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Print H
[26] A     =   2 | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Assignment
[27] B=3 | A=2, B=3, C=8, D=35, E=1225, F=10, G=245, H=245 | Assignment
[28] C= A   +   B   *   4 | A=2, B=3, C=14, D=35, E=1225, F=10, G=245, H=245 | Arithmetic operation
[29] D=( A +B) * ( C -  2 ) | A=2, B=3, C=14, D=60, E=1225, F=10, G=245, H=245 | Arithmetic operation
[30] print(   D ) | A=2, B=3, C=14, D=60, E=1225, F=10, G=245, H=245 | Print D
[31] print(    A   ) | A=2, B=3, C=14, D=60, E=1225, F=10, G=245, H=245 | Print A
[32] A = 2 * (3 + 4) | A=14, B=3, C=14, D=60, E=1225, F=10, G=245, H=245 | Arithmetic operation
[33] B = (2 + 3) * 4 | A=14, B=20, C=14, D=60, E=1225, F=10, G=245, H=245 | Arithmetic operation
[34] print(A) | A=14, B=20, C=14, D=60, E=1225, F=10, G=245, H=245 | Print A
[35] print(B) | A=14, B=20, C=14, D=60, E=1225, F=10, G=245, H=245 | Print B
[36] A = 1 | A=1, B=20, C=14, D=60, E=1225, F=10, G=245, H=245 | Assignment
[37] B = 2 | A=1, B=2, C=14, D=60, E=1225, F=10, G=245, H=245 | Assignment
[38] C = 3 | A=1, B=2, C=3, D=60, E=1225, F=10, G=245, H=245 | Assignment
[39] D = 4 | A=1, B=2, C=3, D=4, E=1225, F=10, G=245, H=245 | Assignment
[40] E = 5 | A=1, B=2, C=3, D=4, E=5, F=10, G=245, H=245 | Assignment
[41] Z = (((((A + B) * C) - D) ^ 2) + E * (A + B + C + D + E) - (A ^ 2) + (B ^ 3) - (C ^ 2) + (D ^ 3)) / (B + A) | A=1, B=2, C=3, D=4, E=5, F=10, G=245, H=245, Z=54 | Arithmetic operation
[42] print(Z) | A=1, B=2, C=3, D=4, E=5, F=10, G=245, H=245, Z=54 | Print Z
